,ts,open,high,low,close,vol
22558,1758305100000,115555.02,115599.57,115545.77,115575.38,25.30836
22559,1758305400000,115575.38,115575.39,115426.17,115487.29,74.70889
22560,1758305700000,115487.3,115492.32,115394.15,115420.81,53.87249
22561,1758306000000,115420.82,115467.06,115394.16,115440.0,27.02049
22562,1758306300000,115439.99,115447.57,115422.8,115423.18,9.14344
22563,1758306600000,115423.18,115499.22,115402.51,115473.54,20.19104
22564,1758306900000,115473.54,115509.67,115442.8,115474.87,46.37725
22565,1758307200000,115474.86,115616.01,115474.86,115596.29,24.42252
22566,1758307500000,115596.3,115644.73,115440.0,115440.0,31.49984
22567,1758307800000,115440.0,115456.64,115400.19,115407.48,43.62759
22568,1758308100000,115407.49,115407.49,115382.98,115407.49,12.69122
22569,1758308400000,115407.49,115479.45,115390.75,115390.75,26.34446
22570,1758308700000,115390.75,115399.99,115300.0,115316.91,38.24918
22571,1758309000000,115316.91,115328.45,115280.0,115298.3,23.47901
22572,1758309300000,115298.29,115325.57,115291.17,115291.18,19.12284
22573,1758309600000,115291.18,115302.0,115291.17,115302.0,27.40253
22574,1758309900000,115301.99,115400.01,115301.99,115360.15,28.16456
22575,1758310200000,115360.15,115360.15,115261.98,115261.98,23.58659
22576,1758310500000,115261.99,115395.03,115261.98,115360.41,23.86415
22577,1758310800000,115360.41,115360.41,115200.0,115200.0,30.13854
22578,1758311100000,115200.0,115200.01,115141.6,115141.61,25.43741
22579,1758311400000,115141.61,115172.99,115139.99,115141.63,10.03258
22580,1758311700000,115141.62,115179.7,115112.58,115125.12,33.11046
22581,1758312000000,115125.13,115295.91,115100.0,115295.91,85.13995
22582,1758312300000,115295.9,115295.91,115220.3,115259.99,30.77341
22583,1758312600000,115259.99,115340.86,115259.99,115313.01,11.98775
22584,1758312900000,115313.0,115360.0,115300.0,115338.39,20.90101
22585,1758313200000,115338.39,115360.01,115314.08,115360.0,9.36497
22586,1758313500000,115360.01,115432.7,115360.0,115388.44,18.02351
22587,1758313800000,115388.44,115392.09,115309.2,115344.48,24.76878
22588,1758314100000,115344.48,115384.67,115344.48,115375.65,12.57051
22589,1758314400000,115375.65,115427.65,115375.65,115403.83,27.85505
22590,1758314700000,115403.83,115445.23,115336.74,115336.74,43.90499
22591,1758315000000,115336.75,115336.75,115289.59,115307.98,25.14989
